# target	module	description
bridge	fuzz_bridge.py	FunctionRegistry bridge machinery
builtins	fuzz_builtins.py	Built-in function Babel boundary
cache	fuzz_cache.py	Cache concurrency and audit behavior
currency	fuzz_currency.py	Currency formatting oracle
cursor	fuzz_cursor.py	Cursor and parse-position helpers
dates	fuzz_dates.py	Locale-aware date and datetime parsing
diagnostics_formatter	fuzz_diagnostics_formatter.py	Diagnostic formatter output and escaping
graph	fuzz_graph.py	Dependency graph algorithms
integrity	fuzz_integrity.py	Semantic validation and data integrity
introspection	fuzz_introspection.py	Message introspection and reference extraction
iso	fuzz_iso.py	ISO lookup and introspection APIs
locale_context	fuzz_locale_context.py	LocaleContext direct formatting API
localization	fuzz_localization.py	FluentLocalization orchestration
lock	fuzz_lock.py	RWLock contention behavior
numbers	fuzz_numbers.py	Number formatting oracle
oom	fuzz_oom.py	Parser object-density limits
parse_currency	fuzz_parse_currency.py	Currency parsing and symbol resolution
parse_decimal	fuzz_parse_decimal.py	Decimal parsing and FluentNumber parsing
plural	fuzz_plural.py	CLDR plural category boundaries
roundtrip	fuzz_roundtrip.py	Parser and serializer roundtrip
runtime	fuzz_runtime.py	End-to-end runtime behavior and strict mode
scope	fuzz_scope.py	Variable scoping invariants
serializer	fuzz_serializer.py	AST-construction serializer paths
structured	fuzz_structured.py	Structure-aware parser stress
